date,open,high,low,close
6/28/2021,125.78,126.53,120.9,126.27
6/29/2021,126.75,129.47,126.36,129
6/30/2021,128.9,128.99,127.97,128.61
7/1/2021,128.78,129.2,126.46,126.64
7/2/2021,127.95,128.94,126.97,128.71
7/5/2021,128.54,128.9,127.48,127.86
7/7/2021,127.95,129.23,127.79,128.89
7/8/2021,128.16,128.94,128.15,128.94
7/12/2021,128.94,130.4,128.49,130.26
7/13/2021,130.43,131.9,130.43,131.32
7/14/2021,131.32,131.9,130.94,131.9
7/15/2021,131.32,132.49,131.32,132.49
7/16/2021,132.49,132.66,131.43,132.34
7/19/2021,132.41,132.71,131.15,132.12
7/20/2021,131.85,132.61,131.02,132.41
7/22/2021,132.41,132.8,132.31,132.41
7/23/2021,132.41,132.81,131.26,131.92
7/26/2021,132.12,132.49,131.08,131.08
7/27/2021,131.52,132.51,131.1,132.13
7/28/2021,131.94,132.81,131.92,131.92
7/29/2021,131.92,132.8,131.52,131.92
7/30/2021,132.06,132.52,131.92,132.12
8/2/2021,132.12,132.49,130.13,130.34
8/3/2021,130.34,131.31,128.66,130
8/4/2021,130.25,130.5,128.62,129.08
8/5/2021,129.19,129.88,127.92,129
8/9/2021,130.38,130.38,128.16,128.5
8/10/2021,128.51,129.6,127.01,127.01
8/11/2021,127.5,127.63,125,125.99
8/12/2021,125.2,125.9,124,124
